sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
0,0.000 000 000,"Idle","Start","",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,10,10,3,0A 90 04 
1,0.000 076 375,"Idle","Init","Cycle Freq.: 8000000, CPU Freq.: 8000000, ID Base: 0x20000000, ID Shift: 2",611,0x0000000000000000,0x0000000000000000,0x0000000000000000,24,13,18,18 0E 80 A4 E8 03 80 A4 E8 03 80 80 80 80 02 02 E3 04 
2,0.000 457 625,"Idle","System Description","N=FreeRTOS Escalonador e Tarefa Periodica,D=STM32F103C8T6-M4,O=FreeRTOS",3661,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,31,75,0E 47 4E 3D 46 72 65 65 52 54 4F 53 20 45 73 63 61 6C 6F 6E 61 64 6F 72 20 65 20 54 61 72 65 66 61 20 50 65 72 69 6F 64 69 63 61 2C 44 3D 53 54 4D 33 32 46 31 30 33 43 38 54 36 2D 4D 34 2C 4F 3D 46 72 65 65 52 54 4F 53 EA 17 
3,0.000 622 375,"Idle","System Description","I#15=SysTick",4979,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,106,16,0E 0C 49 23 31 35 3D 53 79 73 54 69 63 6B A6 0A 
4,0.000 701 375,"Idle","System Time (us)","0 us",5611,0x0000000000000000,0x0000000000000000,0x0000000000000000,13,122,5,0D 00 00 F8 04 
5,0.001 733 375,"Idle","Task Info","Tarefa_T1 (0x00000518): Priority=0",13867,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,127,16,09 98 0A 00 09 54 61 72 65 66 61 5F 54 31 C0 40 
6,0.001 801 375,"Idle","Stack Info","Tarefa_T1 (0x00000518): 118 @ 0x20001258",14411,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,143,12,15 98 0A D8 A4 80 80 02 76 00 A0 04 
7,0.002 834 625,"Idle","Task Info","Tarefa_T2 (0x000005B4): Priority=0",22677,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,155,16,09 B4 0B 00 09 54 61 72 65 66 61 5F 54 32 CA 40 
8,0.002 902 625,"Idle","Stack Info","Tarefa_T2 (0x000005B4): 118 @ 0x200014C8",23221,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,171,12,15 B4 0B C8 A9 80 80 02 76 00 A0 04 
9,0.002 961 000,"Idle","Num Modules","Registered Modules: 0",23688,0x0000000000000000,0x0000000000000000,0x0000000000000000,27,183,5,1B 01 00 D3 03 
10,0.003 689 375,"Idle","Task Create","SystemTask (0x00000650)",29515,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,188,5,08 D0 0C C3 2D 
11,0.003 833 000,"Idle","Task Info","SystemTask (0x00000650): Priority=8",30664,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,193,17,09 D0 0C 08 0A 53 79 73 74 65 6D 54 61 73 6B FD 08 
